case_no,status_dttm,status,code,description,violation_stno,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
V311142,2016-08-01 08:33:25,Closed,105.1,Failure to Obtain Permit,216,Beacon,ST,Boston,MA,02116,05,216 BEACON ST,BOSTON,MA,02116,10260.0,42.354069547087995,-71.07843050244534,"(42.354069547087995, -71.07843050244534)"
V311046,2016-07-29 15:12:13,Closed,105.1,Failure to Obtain Permit,25,Cleveland,ST,Hyde Park,MA,02136,18,27 CLEVELAND ST,HYDE PARK,MA,02136,412896.0,42.25517963175038,-71.13031083942683,"(42.25517963175038, -71.13031083942683)"
V311045,2016-07-29 14:47:25,Closed,105.1,Failure to Obtain Permit,27,Pleasant,ST,Hyde Park,MA,02136,18,27 PLEASANT ST,HYDE PARK,MA,02136,111112.0,42.25532660860331,-71.11448580423794,"(42.25532660860331, -71.11448580423794)"
V310990,2016-07-29 10:04:03,Closed,105.1,Failure to Obtain Permit,46,Gates,ST,South Boston,MA,02127,07,46 GATES ST,SOUTH BOSTON,MA,02127,63074.0,42.33237950835649,-71.0480604816076,"(42.33237950835649, -71.0480604816076)"
V310791,2016-07-28 11:11:20,Closed,1001.3.2,Testing & Certification,52,Winter,ST,Boston,MA,02111,03,C/O MAINSAIL MGMT INC,Boston,MA,02116,171883.0,42.35606817224757,-71.06207486773222,"(42.35606817224757, -71.06207486773222)"
V310770,2016-07-28 10:13:10,Closed,116.2,Unsafe and Dangerous,87,Sawyer,AVE,Dorchester,MA,02125,13,87 Sawyer Avenue,Dorchester,MA,02125,123581.0,42.3127795289262,-71.06212055731767,"(42.3127795289262, -71.06212055731767)"
V310769,2016-07-28 10:11:31,Closed,5110.1,Failure to secure permit,87,Sawyer,AVE,Dorchester,MA,02125,13,87 Sawyer Avenue,Dorchester,MA,02125,123581.0,42.3127795289262,-71.06212055731767,"(42.3127795289262, -71.06212055731767)"
V310738,2016-07-28 09:22:21,Closed,116.2,Unsafe and Dangerous,102R,Webster,ST,East Boston,MA,02128,01,1 CURTIS ST,East Boston,MA,02128,393469.0,42.36704434764246,-71.03673676340776,"(42.36704434764246, -71.03673676340776)"
V310566,2016-07-27 14:05:45,Closed,105.1,Failure to Obtain Permit,1140,Blue Hill,AV,Dorchester,MA,02124,14,12 CATTAIL LANE,SHARON,MA,02067,16175.0,42.285209571019095,-71.09083068355721,"(42.285209571019095, -71.09083068355721)"
V310563,2016-07-27 13:19:16,Closed,105.1,Failure to Obtain Permit,11A,Melrose,ST,Boston,MA,02116,05,11A MELROSE ST,BOSTON,MA,02116,167590.0,42.34922979323391,-71.06756012633153,"(42.34922979323391, -71.06756012633153)"
V310548,2016-07-27 11:50:29,Closed,1001.3.3,,11 A,Melrose,ST,Boston,MA,02116,05,11A MELROSE ST,BOSTON,MA,02116,93929.0,42.34925153268602,-71.06756948708153,"(42.34925153268602, -71.06756948708153)"
V310537,2016-07-27 11:18:46,Closed,114.1,Unlawful Acts,40,Clarendon,ST,Boston,MA,02116,04,40 CLARENDON ST,BOSTON,MA,02116,33282.0,42.34536953943552,-71.07280050786076,"(42.34536953943552, -71.07280050786076)"
V310522,2016-07-27 10:37:06,Closed,116.2,Unsafe and Dangerous,107,Chelsea,ST,East Boston,MA,02128,01,213 Condor Street,EAST BOSTON,MA,02128-1937,30304.0,42.3725094893873,-71.03543036432528,"(42.3725094893873, -71.03543036432528)"
V310491,2016-07-27 09:59:19,Closed,116.2,Unsafe and Dangerous,613,Dorchester,AV,South Boston,MA,02127,07,613-615 DORCHESTER AV #2,SOUTH BOSTON,MA,02127,48652.0,42.32872952047688,-71.05711051107916,"(42.32872952047688, -71.05711051107916)"
V310481,2016-07-27 09:39:50,Closed,105.1,Failure to Obtain Permit,322,Washington,ST,Boston,MA,02108,03,2 Seaport Lane,Boston,MA,02210,347140.0,42.35675542905149,-71.05858218993545,"(42.35675542905149, -71.05858218993545)"
V310311,2016-07-26 15:08:37,Closed,105.1,Failure to Obtain Permit,120,Bay State,RD,Boston,MA,02215,05,14 Sweeney Ridge Road,BEDFORD,MA,01730,8958.0,42.34996957369405,-71.09870055630417,"(42.34996957369405, -71.09870055630417)"
V310048,2016-07-26 08:40:29,Open,MGL Chapter 143 Sec 3L,Electrical Work w/out a Permit,4903,Washington,ST,West Roxbury,MA,02132,20,4903 WASHINGTON ST,WEST ROXBURY,MA,02132,145355.0,42.26947965477623,-71.14865084839751,"(42.26947965477623, -71.14865084839751)"
V310054,2016-07-25 15:28:15,Closed,105.1,Failure to Obtain Permit,57,De Soto,RD,West Roxbury,MA,02132,20,57 DESOTO RD,WEST ROXBURY,MA,02132,46798.0,42.26107966378552,-71.15350087861866,"(42.261079663785516, -71.15350087861866)"
V310030,2016-07-25 12:47:12,Closed,116.1,Unsafe and Dangerous,40,Clarendon,ST,Boston,MA,02116,04,40 CLARENDON ST,BOSTON,MA,02116,33282.0,42.34536953943552,-71.07280050786076,"(42.34536953943552, -71.07280050786076)"
V310026,2016-07-25 12:27:32,Closed,3307.1,Protection of Adj. Property,40,Clarendon,ST,Boston,MA,02116,04,40 CLARENDON ST,BOSTON,MA,02116,33282.0,42.34536953943552,-71.07280050786076,"(42.34536953943552, -71.07280050786076)"
V309964,2016-07-25 09:49:09,Closed,104.4.4,Property Maintenance,46,Garden,ST,Boston,MA,02114,05,C/O PVR FAMILY LTD PRTNSP,WALTHAM,MA,02451-3636,62518.0,42.35996953112007,-71.06674046197983,"(42.35996953112007, -71.06674046197983)"
V302198,2016-07-22 12:03:39,Closed,1001.3.2,Testing & Certification,136,Prince,ST,Boston,MA,02113,03,C/O HARVEST PROPERTIES,MELROSE,MA,02176-3859,112830.0,42.366229518130176,-71.05738042691998,"(42.366229518130176, -71.05738042691998)"
V303393,2016-07-22 12:01:26,Closed,1001.3.2,Testing & Certification,8,Sheafe,ST,Boston,MA,02113,03,C/O LIGHTHOUSE REALTY MANAGEMENT,Boston,MA,02116,126562.0,42.36606551640971,-71.05545642314216,"(42.36606551640971, -71.05545642314216)"
V303435,2016-07-22 12:00:03,Closed,1001.3.2,Testing & Certification,9,Sheafe,ST,Boston,MA,02113,03,72 HANCOCK ST,LEXINGTON,MA,02420-1204,126571.0,42.36619951619284,-71.05533042243714,"(42.36619951619284, -71.05533042243714)"
V302205,2016-07-22 11:58:37,Closed,1001.3.2,Testing & Certification,35,Sheafe,ST,Boston,MA,02113,03,43 BEACON ST,EVERETT,MA,02149-2101,126552.0,42.36656951705259,-71.05616042296684,"(42.36656951705259, -71.05616042296684)"
V253376,2016-07-22 11:53:30,Closed,1001.3.3,,19,Tileston,ST,Boston,MA,02113,03,"19 TILESTON ST, UNIT 4",BOSTON,MA,02113-1932,135994.0,42.365539513633024,-71.05372042047772,"(42.365539513633024, -71.05372042047772)"
V253364,2016-07-22 11:51:28,Closed,1001.3.2,Testing & Certification,19 HF,Tileston,ST,Boston,MA,02113,03,19 TILESTON ST,BOSTON,MA,02113,135999.0,42.365621513096706,-71.05367941970745,"(42.365621513096706, -71.05367941970745)"
V309809,2016-07-22 11:16:13,Closed,116.2,Unsafe and Dangerous,592,Poplar,ST,Roslindale,MA,02131,18,1900 Market Street,Philadelphia,PA,19103,111952.0,42.27000963078903,-71.13193081023283,"(42.27000963078903, -71.13193081023283)"
V309618,2016-07-21 10:36:01,Closed,102.8,Maintenance,11,Marlborough,ST,Boston,MA,02116,05,450 Commonwealth Avenue,Newton,MA,02459,90324.0,42.354629539954686,-71.07301048816352,"(42.354629539954686, -71.07301048816352)"
V309611,2016-07-21 10:25:13,Closed,102.8,Maintenance,9,Marlborough,ST,Boston,MA,02116,05,450 COMMONWEALTH AVE,Newton Center,MA,02459,91601.0,42.35464953940636,-71.07295048807615,"(42.35464953940636, -71.07295048807615)"
V309061,2016-07-18 14:23:05,Closed,116.2,Unsafe and Dangerous,110,Huntington,AV,Boston,MA,02116,04,225 W. Washington Street,Indianapolis,IN,46207,76238.0,42.34743005521552,-71.07743639266289,"(42.34743005521552, -71.07743639266289)"
V308998,2016-07-18 09:53:55,Closed,102.8,Maintenance,312,Third,ST,South Boston,MA,02127,06,320 W THIRD ST,SOUTH BOSTON,MA,02127,135386.0,42.336949504945046,-71.04551046564131,"(42.336949504945046, -71.04551046564131)"
V308901,2016-07-15 14:05:46,Closed,1001.3.2,Testing & Certification,329,Commonwealth,AV,Boston,MA,02115,05,341 COMMONWEALTH AVE,BOSTON,MA,02115-1934,40221.0,42.34986955934732,-71.08731053143991,"(42.34986955934732, -71.08731053143991)"
V308848,2016-07-15 09:15:00,Closed,110.7,Periodic Inspections,257,Newbury,ST,Boston,MA,02116,05,261 NEWBURY ST,Boston,MA,02116,101472.0,42.34965955352028,-71.08314052145838,"(42.34965955352028, -71.08314052145838)"
V308836,2016-07-15 09:12:13,Closed,116.2,Unsafe and Dangerous,102,Lawrence,AV,Dorchester,MA,02121,14,102 LAWRENCE AVE,DORCHESTER,MA,02121,84510.0,42.3109495464537,-71.07473058874243,"(42.3109495464537, -71.07473058874243)"
V308779,2016-07-14 15:37:25,Open,5110.1,Failure to secure permit,15,Payson,AV,Dorchester,MA,02125,15,15 PAYSON AV,DORCHESTER,MA,02125-2118,108675.0,42.31428953549862,-71.06669056397108,"(42.31428953549862, -71.06669056397108)"
V308793,2016-07-14 15:13:02,Closed,116.2,Unsafe and Dangerous,410,Columbia,RD,Dorchester,MA,02125,15,411 WASHINGTON ST,DORCHESTER,MA,02124-1122,35243.0,42.31199953883475,-71.0696205755299,"(42.31199953883475, -71.0696205755299)"
V308792,2016-07-14 15:10:23,Closed,116.2,Unsafe and Dangerous,38,Mount Ida,RD,Dorchester,MA,02122,15,6 Marshfield St,Boston,MA,02119,98329.0,42.30575953305023,-71.06460057872158,"(42.30575953305023, -71.06460057872158)"
V308780,2016-07-14 14:34:30,Closed,116.2,Unsafe and Dangerous,186A,Grampian,WY,Dorchester,MA,02125,13,186 GRAMPIAN WAY,DORCHESTER,MA,02125,65677.0,42.30922951209397,-71.04977053717344,"(42.309229512093964, -71.04977053717344)"
V308777,2016-07-14 14:31:14,Closed,116.2,Unsafe and Dangerous,41,Wren,ST,West Roxbury,MA,02132,20,41 Wren St,West Roxbury,MA,02132,152906.0,42.28146965789349,-71.15248083127483,"(42.28146965789349, -71.15248083127483)"
V308489,2016-07-13 10:14:12,Closed,105.1,Failure to Obtain Permit,512,Sumner,ST,East Boston,MA,02128,01,512 SUMNER ST,EAST BOSTON,MA,02128-2296,132511.0,42.36493948336367,-71.0302403698333,"(42.36493948336367, -71.0302403698333)"
V308481,2016-07-13 10:02:52,Closed,R104.4,Inspections,512,Sumner,ST,East Boston,MA,02128,01,512 SUMNER ST,EAST BOSTON,MA,02128-2296,132511.0,42.36493948336367,-71.0302403698333,"(42.36493948336367, -71.0302403698333)"
V308182,2016-07-12 08:42:41,Closed,Article 4 Section 4-3,No use of premises permit:,8,Washington,ST,Charlestown,MA,02129,02,8 Washington St,Charlestown,MA,02129,145853.0,42.37264752542702,-71.06360342670628,"(42.37264752542702, -71.06360342670628)"
V308061,2016-07-11 14:17:10,Closed,116.2,Unsafe and Dangerous,6,Swan,CT,Dorchester,MA,02124,17,1 Swan Court,Dorchester,MA,02124,420768.0,42.27433735784162,-71.06385573192206,"(42.27433735784162, -71.06385573192206)"
V308057,2016-07-11 13:44:18,Closed,1001.3.3,,145,Tremont,ST,Boston,MA,02111,03,C/O BAY STATE RLTY,BOSTON,MA,02116,136838.0,42.35529424880151,-71.06299374685813,"(42.35529424880151, -71.06299374685813)"
V308034,2016-07-11 11:13:02,Closed,907.2.11.2,Fire Alarm and Detection,17,Cazenove,ST,Boston,MA,02116,05,"17 CAZENOVE ST, Unit 204",Boston,MA,02116,26648.0,42.34721954089299,-71.07291050453522,"(42.34721954089299, -71.07291050453522)"
V308027,2016-07-11 11:03:58,Closed,107.4,Failed to comply w permit term,18,Meridian,ST,East Boston,MA,02128,01,"165 TREMONT ST, STE 1303",Boston,MA,02111,94408.0,42.37072949487765,-71.0391503764975,"(42.370729494877644, -71.0391503764975)"
V307831,2016-07-08 15:41:44,Closed,105.1,Failure to Obtain Permit,38,Whiting,ST,Roxbury,MA,02119,12,38 Whiting St,Roxbury,MA,02119,149402.0,42.3245295532902,-71.08086057286754,"(42.3245295532902, -71.08086057286754)"
V307830,2016-07-08 15:06:03,Closed,107.4,Failed to comply w permit term,38,Whiting,ST,Roxbury,MA,02119,12,38 Whiting St,Roxbury,MA,02119,149402.0,42.3245295532902,-71.08086057286754,"(42.3245295532902, -71.08086057286754)"
V307768,2016-07-08 08:57:32,Closed,105.1,Failure to Obtain Permit,25,Mendum,ST,Roslindale,MA,02131,20,61-63 PARK AVENUE,CRANSTON,RI,02905,94195.0,42.29195962349318,-71.12893075360414,"(42.29195962349318, -71.12893075360414)"
V307748,2016-07-08 08:34:03,Closed,116.2,Unsafe and Dangerous,1654,Washington,ST,Roxbury,MA,02118,08,1654 Washington Street,Boston,MA,02118,144307.0,42.337549543928475,-71.07502053162054,"(42.337549543928475, -71.07502053162054)"
V300106,2016-07-07 08:18:21,Closed,116.2,Unsafe and Dangerous,22,Fernboro,ST,Dorchester,MA,02121,14,22 Fernboro Street,Boston,MA,02121,57632.0,42.31091954902719,-71.07732059606617,"(42.31091954902719, -71.07732059606617)"
V305526,2016-07-06 15:43:00,Closed,116.2,Unsafe and Dangerous,3,McCormick,SQ,East Boston,MA,02128,01,40 Everett Street,East Boston,MA,02128,154967.0,42.36483548505752,-71.0309693709669,"(42.36483548505752, -71.0309693709669)"
V307418,2016-07-06 10:46:03,Closed,1001.3.3,,43,Upton,ST,Roxbury,MA,02118,03,43 UPTON ST,BOSTON,MA,02118,139636.0,42.34286954051672,-71.0725405141033,"(42.34286954051672, -71.0725405141033)"
V307322,2016-07-06 10:42:17,Closed,Article 4 Section 4-3,No use of premises permit:,1,Swan,CT,Dorchester,MA,02124,17,1 Swan Court,Dorchester,MA,02124,133131.0,42.27450953445436,-71.0636106456104,"(42.27450953445436, -71.0636106456104)"
V307413,2016-07-06 10:35:28,Closed,116.2,Unsafe and Dangerous,36,Magee,ST,Hyde Park,MA,02136,18,36 MAGEE ST,HYDE PARK,MA,02136,88220.0,42.26490962526174,-71.12682081000979,"(42.26490962526174, -71.12682081000979)"
V306846,2016-07-06 10:29:04,Closed,116.2,Unsafe and Dangerous,161,Cottage,ST,East Boston,MA,02128,01,30A WINDING OAKS WAY,BOXFORD,MA,01921,43403.0,42.36982948697256,-71.03266036419866,"(42.36982948697256, -71.03266036419866)"
V307393,2016-07-06 10:24:56,Closed,105.1,Failure to Obtain Permit,35,Winter,ST,Boston,MA,02108,03,14 Norfolk Ave,South Easton,MA,02375,150875.0,42.35609952429942,-71.06159945869258,"(42.35609952429942, -71.06159945869258)"
V279272,2016-07-06 08:45:57,Closed,105.1,Failure to Obtain Permit,23,Vineland,ST,Brighton,MA,02135,22,23 Vineland St,Allston,MA,02134,140744.0,42.35760563923831,-71.15007065451573,"(42.35760563923831, -71.15007065451573)"
V284175,2016-07-06 08:44:32,Closed,105.1,Failure to Obtain Permit,50,Harriet,ST,Brighton,MA,02135,22,236 FANEUIL ST,BRIGHTON,MA,02135-1836,69658.0,42.35311964816167,-71.15645067880403,"(42.35311964816167, -71.15645067880403)"
V307317,2016-07-06 08:26:36,Closed,105.1,Failure to Obtain Permit,222,Newbury,ST,Boston,MA,02116,05,c/o HERB BUBERT,BOSTON,MA,02116,168054.0,42.34981662072927,-71.08114529561624,"(42.34981662072927, -71.08114529561624)"
V305820,2016-07-01 09:44:47,Closed,116.2,Unsafe and Dangerous,415,Lagrange,ST,West Roxbury,MA,02132,20,18 ALDER ROAD,WESTWOOD,MA,02090,82771.0,42.2812096667401,-71.15882084571004,"(42.2812096667401, -71.15882084571004)"
V306993,2016-07-01 09:32:02,Closed,116.2,Unsafe and Dangerous,84,Mount Vernon,ST,Boston,MA,02108,05,84 MOUNT VERNON ST,BOSTON,MA,02108,98745.0,42.35790953359032,-71.06831047000348,"(42.35790953359032, -71.06831047000348)"
V306990,2016-07-01 09:03:00,Closed,116.2,Unsafe and Dangerous,58,Ainsworth,ST,Roslindale,MA,02131,20,269 Bullard Street,Walpole,MA,02081,1254.0,42.289259640827424,-71.14143078924872,"(42.289259640827424, -71.14143078924872)"
V306988,2016-07-01 08:58:46,Closed,105.1,Failure to Obtain Permit,15,Lee Hill,RD,Roslindale,MA,02131,19,15 LEE HILL RD,ROSLINDALE,MA,02131,84844.0,42.28898961974959,-71.12658075531174,"(42.28898961974959, -71.12658075531174)"
V306985,2016-07-01 08:53:26,Closed,105.1,Failure to Obtain Permit,99,Rockland,ST,West Roxbury,MA,02132,20,99 ROCKLAND ST,WEST ROXBURY,MA,02132,169253.0,42.256123311672035,-71.1568994788962,"(42.256123311672035, -71.1568994788962)"
V306872,2016-06-30 09:33:25,Closed,105.1,Failure to Obtain Permit,353,Sumner,ST,East Boston,MA,02128,01,5 Tarbox Lane,NORTH READING,MA,01864,132415.0,42.36674748986243,-71.03517237609219,"(42.36674748986243, -71.03517237609219)"
V306679,2016-06-29 10:02:17,Closed,116.2,Unsafe and Dangerous,8,B,ST,Hyde Park,MA,02136,18,95 ARCADIA RD,WESTWOOD,MA,02090,7328.0,42.2498996251037,-71.12498083919259,"(42.2498996251037, -71.12498083919259)"
V306309,2016-06-27 09:41:40,Closed,116.2,Unsafe and Dangerous,32,Hancock,ST,Boston,MA,02114,03,32 HANCOCK,BOSTON,MA,02114,68727.0,42.36002952762611,-71.06426045686764,"(42.36002952762611, -71.06426045686764)"
V306303,2016-06-27 09:24:01,Closed,116.2,Unsafe and Dangerous,279,Hanover,ST,Boston,MA,02113,03,20 CHAPEL #C805,BROOKLINE,MA,02446,69078.0,42.3635968177523,-71.0544891368197,"(42.3635968177523, -71.0544891368197)"
V306287,2016-06-27 08:03:20,Closed,116.2,Unsafe and Dangerous,1165,Massachusetts,AV,Dorchester,MA,02125,07,56 Prospect Street,Hartford,CT,06103,91943.0,42.32342953188505,-71.0649705402171,"(42.32342953188505, -71.0649705402171)"
V306198,2016-06-24 12:14:59,Closed,105.1,Failure to Obtain Permit,11,Fayette,ST,Boston,MA,02116,05,11 FAYETTE ST,BOSTON,MA,02116,56953.0,42.34923953180345,-71.06705048665644,"(42.34923953180345, -71.06705048665644)"
V306191,2016-06-24 11:52:13,Closed,105.1,Failure to Obtain Permit,250,Leyden,ST,East Boston,MA,02128,01,250 LEYDEN ST,EAST BOSTON,MA,02128-2632,85808.0,42.38870944594463,-71.00148025190855,"(42.38870944594463, -71.00148025190855)"
V306188,2016-06-24 11:34:44,Closed,116.2,Unsafe and Dangerous,15,Brighton,ST,Charlestown,MA,02129,02,C/O RENOVATION WORKS LLC,CHARLESTOWN,MA,02129,20194.0,42.38312954330438,-71.078020435875,"(42.38312954330438, -71.078020435875)"
V306168,2016-06-24 10:47:53,Closed,105.1,Failure to Obtain Permit,32,Seattle,ST,Allston,MA,02134,22,32 SEATTLE ST,ALLSTON,MA,02134,124117.0,42.359927606384865,-71.12498459291128,"(42.359927606384865, -71.12498459291128)"
V306107,2016-06-24 09:03:12,Closed,105.6,Suspension or Revocation,689,Seventh,ST,South Boston,MA,02127,07,c/o MALTA REALTY LLC,Charlestown,MA,02129,125511.0,42.33221948706233,-71.03265044666843,"(42.33221948706233, -71.03265044666843)"
V306100,2016-06-24 08:25:39,Closed,1003.6,Means of Egress,689,Seventh,ST,South Boston,MA,02127,07,c/o MALTA REALTY LLC,Charlestown,MA,02129,125511.0,42.33221948706233,-71.03265044666843,"(42.33221948706233, -71.03265044666843)"
V305469,2016-06-23 08:37:21,Closed,116.2,Unsafe and Dangerous,9,Robken,RD,Roslindale,MA,02131,20,6 Wocester Road,SHARON,MA,02067,117525.0,42.293269629601454,-71.13356076186717,"(42.293269629601454, -71.13356076186717)"
V305718,2016-06-22 08:54:03,Closed,102.8,Maintenance,54,Chestnut,ST,Boston,MA,02108,05,223 LEXINGTON AV,CAMBRIDGE,MA,02138,31437.0,42.357128533729835,-71.06876147239959,"(42.357128533729835, -71.06876147239959)"
V305550,2016-06-21 10:49:50,Closed,3302.2,Manner of Removal,150,State,ST,Boston,MA,02109,03,311 SUMMER ST SUITE 200,BOSTON,MA,02210,130375.0,42.35939951465823,-71.05408043559406,"(42.35939951465823, -71.05408043559406)"
V305245,2016-06-17 10:43:37,Closed,102.8,Maintenance,1,Lauriat,ST,Dorchester,MA,02124,14,1 LAURIAT ST,DORCHESTER,MA,02124,84267.0,42.288329555924825,-71.08023065191077,"(42.288329555924825, -71.08023065191077)"
V285180,2016-06-17 09:07:29,Closed,105.1,Failure to Obtain Permit,61,Crescent,AVE,Dorchester,MA,02125,13,97 PRATT RD,SCITUATE,MA,02066-2054,44228.0,42.31881951629333,-71.05344052440493,"(42.318819516293324, -71.05344052440493)"
V284495,2016-06-17 09:05:41,Closed,R102.4.5,Unsafe Maintenance,5,Grant,ST,Dorchester,MA,02125,13,5 GRANT ST,DORCHESTER,MA,02125-1234,65950.0,42.3186795197191,-71.05543052920581,"(42.3186795197191, -71.05543052920581)"
V284480,2016-06-17 09:02:02,Closed,116.2,Unsafe and Dangerous,101,Pleasant,ST,Dorchester,MA,02125,13,101 PLEASANT ST,DORCHESTER,MA,02125,111131.0,42.31234952503369,-71.05927055184159,"(42.31234952503369, -71.05927055184159)"
V288595,2016-06-17 08:56:55,Closed,116.2,Unsafe and Dangerous,11,Saint William,ST,Dorchester,MA,02125,13,8 GIANNA DR,SAUGUS,MA,01906,121661.0,42.31462952025789,-71.05599053927622,"(42.31462952025789, -71.05599053927622)"
V285332,2016-06-17 08:55:27,Closed,116.2,Unsafe and Dangerous,57,Woodford,ST,Dorchester,MA,02125,13,46 Vassar Street,DORCHESTER,MA,02121,151528.0,42.31801954044955,-71.07106056551133,"(42.31801954044955, -71.07106056551133)"
V275677,2016-06-17 08:54:31,Closed,116.2,Unsafe and Dangerous,29,Bellevue,ST,Dorchester,MA,02125,15,29 BELLEVUE ST,DORCHESTER,MA,02125,13852.0,42.310809537449074,-71.06793057476662,"(42.310809537449074, -71.06793057476662)"
V284440,2016-06-17 08:52:47,Open,R102.4.5,Unsafe Maintenance,348,Bowdoin,ST,Dorchester,MA,02122,15,348 BOWDOIN ST,DORCHESTER,MA,02122-1802,17726.0,42.30876953254653,-71.06467057216668,"(42.30876953254653, -71.06467057216668)"
V294712,2016-06-17 08:48:36,Closed,901.2,Fire Protection Systems,1208,Dorchester,AV,Dorchester,MA,02125,15,5505 Blue Lagoon Drive,Miami,FL,33126,351624.0,42.30926515326073,-71.05775317613865,"(42.30926515326073, -71.05775317613865)"
V284444,2016-06-17 08:46:11,Closed,R102.4.5,Unsafe Maintenance,85,Draper,ST,Dorchester,MA,02122,15,85 Draper St,Dorchester,MA,02122,49464.0,42.30434953281756,-71.0645605817629,"(42.30434953281756, -71.0645605817629)"
V293501,2016-06-17 08:42:20,Closed,116.1,Unsafe and Dangerous,265,Hancock,ST,Dorchester,MA,02122,15,352 BEULAH ST,WHITMAM,MA,02382,68912.0,42.30891546395342,-71.05934809180108,"(42.30891546395342, -71.05934809180108)"
V285187,2016-06-17 08:40:43,Closed,102.8,Maintenance,29,Oakley,ST,Dorchester,MA,02124,15,16001 North Dallas Parkway,Addison,TX,75001,104815.0,42.3016395400176,-71.06955059885001,"(42.3016395400176, -71.06955059885001)"
V305116,2016-06-17 08:22:09,Closed,102.8,Maintenance,12,Hancock,ST,Boston,MA,02114,03,14 South Russell St,Boston,MA,02114,68647.0,42.36068851835777,-71.06424125913328,"(42.36068851835777, -71.06424125913328)"
V305061,2016-06-16 14:53:19,Closed,1203.1,Ventilation,4,Longfellow,PL,Boston,MA,02114,03,72 STANIFORD ST,BOSTON,MA,02114,167148.0,42.363286906254935,-71.06438979056037,"(42.363286906254935, -71.06438979056037)"
V305060,2016-06-16 11:44:40,Closed,1203.4,Natural Ventilation,4,Longfellow,PL,Boston,MA,02114,03,72 STANIFORD ST,BOSTON,MA,02114,167148.0,42.363286906254935,-71.06438979056037,"(42.363286906254935, -71.06438979056037)"
V305055,2016-06-16 11:35:25,Closed,116.3,Unsafe Structure,4,Longfellow,PL,Boston,MA,02114,03,72 Staniford Street,Boston,MA,02114,167148.0,42.363286906254935,-71.06438979056037,"(42.363286906254935, -71.06438979056037)"
V303858,2016-06-16 10:39:04,Closed,105.1,Failure to Obtain Permit,101,Atlantic,AV,Boston,MA,02109,03,111 Atlantic Avenue,Boston,MA,02110,161701.0,42.36149319917284,-71.05269465212704,"(42.36149319917284, -71.05269465212704)"
V304829,2016-06-15 08:17:00,Closed,116.2,Unsafe and Dangerous,15,Bellflower,ST,Dorchester,MA,02125,07,45 PENACOOK TER,MERRIMACK,NH,03054,14036.0,42.325089524601054,-71.06000052457968,"(42.325089524601054, -71.06000052457968)"
V304689,2016-06-14 11:00:23,Closed,5119,Stop Work Order,12,Linden,ST,Dorchester,MA,02122,15,67 FREEPORT ST,DORCHESTER,MA,02122,86489.0,42.3056521446318,-71.05826109638525,"(42.3056521446318, -71.05826109638525)"
V304671,2016-06-14 10:27:50,Closed,105.1,Failure to Obtain Permit,12,Linden,ST,Dorchester,MA,02122,15,67  FREEPORT ST,DORCHESTER,MA,02122,86489.0,42.3056521446318,-71.05826109638525,"(42.3056521446318, -71.05826109638525)"
V304542,2016-06-13 15:35:53,Closed,105.1,Failure to Obtain Permit,12,Almont,ST,Mattapan,MA,02126,18,46 FERNCROFT RD,MILTON,MA,02186,2747.0,42.27441957746021,-71.09433071562096,"(42.27441957746021, -71.09433071562096)"
V304540,2016-06-13 15:32:32,Closed,102.8,Maintenance,858,Saratoga,ST,East Boston,MA,02128,01,128 Wordsworth Street,East Boston,MA,02128,122849.0,42.38531946177815,-71.0134502857863,"(42.38531946177815, -71.0134502857863)"
V304422,2016-06-10 15:54:30,Closed,105.1,Failure to Obtain Permit,120,Fulton,ST,Boston,MA,02113,03,C/O MEDIATE MNGT,Charlestown,MA,02129,61326.0,42.36311951272908,-71.05260042318542,"(42.36311951272908, -71.05260042318542)"
V304366,2016-06-10 09:21:37,Closed,105.1,Failure to Obtain Permit,81,Eutaw,ST,East Boston,MA,02128,01,81 EUTAW ST,EAST BOSTON,MA,02128,54737.0,42.37957349019521,-71.03620935069641,"(42.37957349019521, -71.03620935069641)"
V304360,2016-06-10 08:52:36,Closed,102.8,Maintenance,402,Seventh,ST,South Boston,MA,02127,07,59 ETHAN ALLEN DR,BOYLSTON,MA,01505,125253.0,42.332259502022296,-71.04379047234474,"(42.332259502022296, -71.04379047234474)"
V304354,2016-06-10 08:45:57,Open,1029.1,Emergency Escape & Rescue,402,Seventh,ST,South Boston,MA,02127,07,59 ETHAN ALLEN DR,BOYLSTON,MA,01505,125253.0,42.332259502022296,-71.04379047234474,"(42.332259502022296, -71.04379047234474)"
V304352,2016-06-10 08:41:08,Closed,116.2,Unsafe and Dangerous,93,Park,ST,Dorchester,MA,02122,16,1773 DORCHESTER AV,Dorchester,MA,02124,107431.0,42.29979952339984,-71.0573105746148,"(42.29979952339984, -71.0573105746148)"
V304277,2016-06-09 11:24:45,Closed,1001.3.2,Testing & Certification,142,Prince,ST,Boston,MA,02113,03,44 High Street,Charlestown,MA,02129,112853.0,42.36644951883422,-71.05755042665217,"(42.36644951883422, -71.05755042665217)"
V304260,2016-06-09 10:37:53,Closed,116.2,Unsafe and Dangerous,12,Loring,ST,South Boston,MA,02127,06,12 LORING ST,SOUTH BOSTON,MA,02127,87343.0,42.33432951285092,-71.05183048586353,"(42.33432951285092, -71.05183048586353)"
